;Název děkanátu;Název farnosti;Rok;Osob celkem;Průměrný věk;Muž;Žena;Neuvedeno;
1;Bílovec;Bílov;1999;32;42,22;10;22;;
;Bílovec;Bílov;2004;19;33,53;10;9;;
;Bílovec;Bílov;2009;27;38,33;14;13;;
;Bílovec;Bílov;2014;34;34,53;15;19;;
;Bílovec;Bílov;2019;19;44,37;7;12;;
;Bílovec;Bílov;2024;18;54,72;5;13;0;
2;Bílovec;Bílovec;1999;271;44,11;99;172;;
;Bílovec;Bílovec;2004;257;45,88;104;153;;
;Bílovec;Bílovec;2009;249;47,72;85;164;;
;Bílovec;Bílovec;2014;232;47,91;95;137;;
;Bílovec;Bílovec;2019;261;48,51;110;151;;
;Bílovec;Bílovec;2024;157;49,29;69;88;0;
3;Bílovec;Bravantice;1999;37;32,41;13;24;;
;Bílovec;Bravantice;2004;19;40,42;9;10;;
;Bílovec;Bravantice;2009;32;36,00;16;16;;
;Bílovec;Bravantice;2014;36;38,78;15;21;;
;Bílovec;Bravantice;2019;31;33,94;12;19;;
;Bílovec;Bravantice;2024;29;40,86;12;17;0;
4;Bílovec;Dobešov;1999;12;51,67;7;5;;
;Bílovec;Dobešov;2004;16;39,69;8;8;;
;Bílovec;Dobešov;2009;14;40,50;4;10;;
;Bílovec;Dobešov;2014;16;37,69;8;8;;
;Bílovec;Dobešov;2019;18;34,44;8;10;;
;Bílovec;Dobešov;2024;11;34,00;4;7;0;
5;Bílovec;Fulnek;1999;382;44,20;145;237;;
;Bílovec;Fulnek;2004;371;44,23;142;229;;
;Bílovec;Fulnek;2009;423;41,61;167;256;;
;Bílovec;Fulnek;2014;366;46,06;137;229;;
;Bílovec;Fulnek;2019;383;42,99;145;238;;
;Bílovec;Fulnek;2024;290;44,47;116;174;0;
6;Bílovec;Hladké Životice;1999;105;48,10;35;70;;
;Bílovec;Hladké Životice;2004;80;46,36;25;55;;
;Bílovec;Hladké Životice;2009;67;48,91;26;41;;
;Bílovec;Hladké Životice;2014;61;52,34;21;40;;
;Bílovec;Hladké Životice;2019;49;64,35;16;33;;
;Bílovec;Hladké Životice;2024;31;56,00;9;21;1;
7;Bílovec;Jistebník;1999;41;42,51;13;28;;
;Bílovec;Jistebník;2004;42;41,81;16;26;;
;Bílovec;Jistebník;2009;42;51,48;13;29;;
;Bílovec;Jistebník;2014;40;50,78;15;25;;
;Bílovec;Jistebník;2019;35;52,03;11;24;;
;Bílovec;Jistebník;2024;24;50,00;9;15;0;
8;Bílovec;Klimkovice;1999;287;52,29;95;192;;
;Bílovec;Klimkovice;2004;288;52,90;101;187;;
